[time] [pid], cpuburst
[  141.684932] [Pid:1336], CPUburst : 3088279
[  141.704016] [Pid:1988], CPUburst : 45043
[  141.820247] [Pid:1884], CPUburst : 200628
[  142.188139] [Pid:2025], CPUburst : 55250
[  142.295077] [Pid:2002], CPUburst : 47059
[  142.801482] [Pid:1917], CPUburst : 16846
[  142.850443] [Pid:1881], CPUburst : 131624
[  142.872929] [Pid:1693], CPUburst : 134670
[  143.199161] [Pid:1710], CPUburst : 106302
[  143.400204] [Pid:1930], CPUburst : 39965
[  143.527914] [Pid:1776], CPUburst : 48750
[  143.630119] [Pid:2051], CPUburst : 25671
[  143.783036] [Pid:1921], CPUburst : 150561
[  144.003672] [Pid:1338], CPUburst : 2417443
[  144.125984] [Pid:1995], CPUburst : 37161
[  144.165697] [Pid:2053], CPUburst : 13695
[  144.247316] [Pid:1180], CPUburst : 48569
[  144.633997] [Pid:2002], CPUburst : 29292
[  144.715766] [Pid:1734], CPUburst : 39621
[  144.716145] [Pid:1989], CPUburst : 32875
[  144.823472] [Pid:1330], CPUburst : 1330602
[  144.868861] [Pid:1988], CPUburst : 22256
[  144.931024] [Pid:1693], CPUburst : 83802
[  145.266217] [Pid:1917], CPUburst : 1170353
[  145.836381] [Pid:1724], CPUburst : 10919
[  145.888509] [Pid:1710], CPUburst : 41452
[  145.970995] [Pid:1713], CPUburst : 478159
[  146.192513] [Pid:1776], CPUburst : 54150
[  146.303187] [Pid:1693], CPUburst : 16671
[  146.460825] [Pid:1730], CPUburst : 114115
[  146.551906] [Pid:1921], CPUburst : 32461
[  146.592895] [Pid:2002], CPUburst : 22296
[  146.703968] [Pid:1911], CPUburst : 106500
[  146.714176] [Pid:1180], CPUburst : 76508
[  146.781719] [Pid:1917], CPUburst : 44049
[  146.955135] [Pid:1693], CPUburst : 1498657
[  147.173254] [Pid:1339], CPUburst : 396525
[  148.195485] [Pid:1988], CPUburst : 437179
[  148.218563] [Pid:2004], CPUburst : 77304
[  148.250518] [Pid:2056], CPUburst : 193685
[  148.281009] [Pid:1884], CPUburst : 46201
[  148.591403] [Pid:1775], CPUburst : 145641
[  148.595873] [Pid:656], CPUburst : 199070
[  148.757059] [Pid:1357], CPUburst : 365184
[  149.044771] [Pid:2002], CPUburst : 100205
[  149.094472] [Pid:1903], CPUburst : 66967
[  149.124063] [Pid:1710], CPUburst : 20941
[  149.125982] [Pid:1776], CPUburst : 27135
[  149.359385] [Pid:2000], CPUburst : 77891
[  149.492950] [Pid:1990], CPUburst : 26418
[  150.109995] [Pid:1917], CPUburst : 946112
[  150.243635] [Pid:1693], CPUburst : 149350
[  150.256912] [Pid:2052], CPUburst : 16826
[  150.257175] [Pid:2051], CPUburst : 7354
[  150.499076] [Pid:1731], CPUburst : 491503
[  150.786166] [Pid:2008], CPUburst : 110375
[  150.833564] [Pid:2017], CPUburst : 42545
[  150.983941] [Pid:1995], CPUburst : 8133
[  150.990700] [Pid:2050], CPUburst : 36480
[  150.994151] [Pid:1330], CPUburst : 3394
[  151.057625] [Pid:1988], CPUburst : 80651
[  151.125415] [Pid:2053], CPUburst : 50949
[  151.136384] [Pid:1337], CPUburst : 77487
[  151.168800] [Pid:1693], CPUburst : 540049
[  151.219485] [Pid:1930], CPUburst : 25258
[  151.231659] [Pid:2002], CPUburst : 45270
[  151.253494] [Pid:1921], CPUburst : 45721
[  151.407591] [Pid:1734], CPUburst : 29195
[  151.432096] [Pid:1917], CPUburst : 1248402
[  151.608175] [Pid:1989], CPUburst : 100521
[  151.642728] [Pid:1870], CPUburst : 8096
[  151.682620] [Pid:1180], CPUburst : 55792
[  151.761111] [Pid:1336], CPUburst : 134397
[  151.779471] [Pid:1924], CPUburst : 40961
[  151.950472] [Pid:1710], CPUburst : 28312
[  151.992513] [Pid:1776], CPUburst : 12908
[  152.083323] [Pid:1693], CPUburst : 148621
[  152.311943] [Pid:2025], CPUburst : 46849
[  152.419210] [Pid:1917], CPUburst : 942361
[  152.559932] [Pid:1724], CPUburst : 19706
[  152.564392] [Pid:1881], CPUburst : 77932
[  152.834841] [Pid:1330], CPUburst : 276077
[  152.856727] [Pid:1356], CPUburst : 99270
[  153.250640] [Pid:1693], CPUburst : 1923
[  153.299713] [Pid:1338], CPUburst : 2130
[  153.412883] [Pid:1917], CPUburst : 7522800
[  153.451200] [Pid:1921], CPUburst : 42736
[  153.520667] [Pid:2002], CPUburst : 43993
[  153.629233] [Pid:1693], CPUburst : 79944
[  153.765482] [Pid:1724], CPUburst : 10798
[  154.089318] [Pid:1193], CPUburst : 104330
[  154.089843] [Pid:1710], CPUburst : 280463
[  154.212876] [Pid:1988], CPUburst : 51251
[  154.396122] [Pid:1693], CPUburst : 6015
[  154.499869] [Pid:1884], CPUburst : 39352
[  154.538229] [Pid:1917], CPUburst : 3487
